setid,"Temperature, K","Pressure, kPa","Specific density, kg/m³"
sCZUd,['298.12'],['101.325'],1144.1±3
sCZUd,['302.85'],['101.325'],1140.4±3
sCZUd,['308.2'],['101.325'],1137.7±3
sCZUd,['312.94'],['101.325'],1134.5±3
sCZUd,['318.09'],['101.325'],1130.8±3
sCZUd,['323.22'],['101.325'],1128.6±3
sCZUd,['328.75'],['101.325'],1124.9±3
sCZUd,['333.31'],['101.325'],1120.8±3
sCZUd,['338.46'],['101.325'],1118±3
sCZUd,['343.19'],['101.325'],1114.8±3
sCZUd,['348.14'],['101.325'],1111.7±2.9
sCZUd,['353.48'],['101.325'],1108.4±2.9
hRQDy,['293.15'],['100'],1069.8±4
hRQDy,['293.15'],['100'],1099±16
hRQDy,['293.15'],['100'],1129±15
hRQDy,['293.15'],['100'],1160±13
hRQDy,['293.15'],['100'],1189±11
hRQDy,['293.15'],['100'],1220.1±9.1
hRQDy,['293.15'],['100'],1249.4±7.5
hRQDy,['293.15'],['100'],1279±6.4
hRQDy,['293.15'],['100'],1308.9±5.6
hRQDy,['293.15'],['100'],1339.9±4.9
hRQDy,['293.15'],['100'],1370.7±4
hRQDy,['298.15'],['100'],1063.2±4
hRQDy,['298.15'],['100'],1093±17
hRQDy,['298.15'],['100'],1123±15
hRQDy,['298.15'],['100'],1155±13
hRQDy,['298.15'],['100'],1184±11
hRQDy,['298.15'],['100'],1214±9.1
hRQDy,['298.15'],['100'],1244.3±7.6
hRQDy,['298.15'],['100'],1274.4±6.4
hRQDy,['298.15'],['100'],1303.9±5.5
hRQDy,['298.15'],['100'],1335.4±4.9
hRQDy,['298.15'],['100'],1366.5±4
hRQDy,['303.15'],['100'],1056.6±4
hRQDy,['303.15'],['100'],1086±17
hRQDy,['303.15'],['100'],1116±15
hRQDy,['303.15'],['100'],1148±13
hRQDy,['303.15'],['100'],1178±11
hRQDy,['303.15'],['100'],1208.5±9.2
hRQDy,['303.15'],['100'],1239±7.7
hRQDy,['303.15'],['100'],1269.3±6.4
hRQDy,['303.15'],['100'],1298.9±5.5
hRQDy,['303.15'],['100'],1330.3±4.9
hRQDy,['303.15'],['100'],1361.6±4
hRQDy,['308.15'],['100'],1050.1±4
hRQDy,['308.15'],['100'],1080±17
hRQDy,['308.15'],['100'],1111±15
hRQDy,['308.15'],['100'],1142±13
hRQDy,['308.15'],['100'],1173±11
hRQDy,['308.15'],['100'],1203.4±9.2
hRQDy,['308.15'],['100'],1234.3±7.8
hRQDy,['308.15'],['100'],1265.3±6.5
hRQDy,['308.15'],['100'],1295.4±5.6
hRQDy,['308.15'],['100'],1327.5±4.9
hRQDy,['308.15'],['100'],1359.5±4
hRQDy,['313.15'],['100'],1043.4±4
hRQDy,['313.15'],['100'],1074±17
hRQDy,['313.15'],['100'],1105±15
hRQDy,['313.15'],['100'],1136±13
hRQDy,['313.15'],['100'],1167±11
hRQDy,['313.15'],['100'],1197.8±9.2
hRQDy,['313.15'],['100'],1229.1±7.8
hRQDy,['313.15'],['100'],1260.2±6.5
hRQDy,['313.15'],['100'],1290.9±5.6
hRQDy,['313.15'],['100'],1323±4.9
hRQDy,['313.15'],['100'],1355.2±4
hRQDy,['318.15'],['100'],1036.6±4
hRQDy,['318.15'],['100'],1067±17
hRQDy,['318.15'],['100'],1098±15
hRQDy,['318.15'],['100'],1130±13
hRQDy,['318.15'],['100'],1162±11
hRQDy,['318.15'],['100'],1192.9±9.3
hRQDy,['318.15'],['100'],1224.4±7.8
hRQDy,['318.15'],['100'],1255.4±6.6
hRQDy,['318.15'],['100'],1286.8±5.7
hRQDy,['318.15'],['100'],1318.9±5
hRQDy,['318.15'],['100'],1351.6±4
hRQDy,['323.15'],['100'],1029.9±4
hRQDy,['323.15'],['100'],1060±17
hRQDy,['323.15'],['100'],1092±16
hRQDy,['323.15'],['100'],1126±13
hRQDy,['323.15'],['100'],1157±11
hRQDy,['323.15'],['100'],1188±9.3
hRQDy,['323.15'],['100'],1219.5±7.9
hRQDy,['323.15'],['100'],1250.8±6.6
hRQDy,['323.15'],['100'],1282.1±5.7
hRQDy,['323.15'],['100'],1314.1±5
hRQDy,['323.15'],['100'],1347.2±4
