setid,reference,property,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SvbxT,Abdurrokhman et al. (2019),Normal melting temperature,Crystal,ABUcca,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
JyzXB,Abdurrokhman et al. (2019),Normal melting temperature,Crystal,ABvbLu,CCCCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-dodecyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,,,,
Jsicg,Abdurrokhman et al. (2019),Normal melting temperature,Crystal,ABqGRY,CCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-decyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,,,,
hbIDP,Abranches et al. (2019),Normal melting temperature,Crystal,AAiJqy,CCC[N+]1(C)CCCCC1.[Cl-],1-methyl-1-propyl-piperidinium chloride,,,,,,
Guzdu,Abranches et al. (2019),Normal melting temperature,Crystal,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,,,,,,
gOTCk,Abranches et al. (2019),Normal melting temperature,Crystal,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,,,,,,
XOkuE,Abranches et al. (2019),Normal melting temperature,Crystal,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,,,
GWljJ,Abranches et al. (2019),Normal melting temperature,Crystal,AAdcHU,CC(O)C[N+](C)(C)C.[Cl-],beta.-methylcholine chloride,,,,,,
qqFWS,Abranches et al. (2019),Normal melting temperature,Crystal,AAjUYG,C[N+](C)(C)CCO.[Br-],choline bromide,,,,,,
mNMpf,Abranches et al. (2019),Normal melting temperature,Crystal,AAhARo,CCCC[n+]1ccccc1.[Cl-],1-butylpyridinium chloride,,,,,,
OrlGz,Adams et al. (1970),Normal melting temperature,Crystal,AAVODp,F[Ge]F,difluorogermylene,,,,,,
dJVnQ,Adams et al. (1971),Normal melting temperature,Crystal,AAVODp,F[Ge]F,difluorogermylene,,,,,,
QMoTR,Adeosun (1978),Normal melting temperature,Crystal 1,ACAXzf,CCCCCCCCCC(=O)O[Hg]OC(=O)CCCCCCCCC,mercuric decanoate,,,,,,
kOpMT,Adeosun (1978),Normal melting temperature,Crystal,ABpiRd,CCCCCCCC(=O)O[Hg]OC(=O)CCCCCCC,mercury (II) octoate,,,,,,
eBtDA,Adeosun (1978),Normal melting temperature,Crystal 1,ACgqwi,C(CCCCCCCCCCCCCCC)(=O)O[Hg]OC(=O)CCCCCCCCCCCCCCC,mercury(2+) palmitate,,,,,,
TxlWr,Adeosun (1978),Normal melting temperature,Crystal 1,ACWBwx,CCCCCCCCCCCCCC(=O)O[Hg]OC(=O)CCCCCCCCCCCCC,mercury(II) tetradecanoate,,,,,,
NFyUx,Adeosun (1978),Normal melting temperature,Crystal,ACLMPY,CCCCCCCCCCCC(=O)O[Hg]OC(=O)CCCCCCCCCCC,mercury(II) dodecanoate,,,,,,
lRPkB,Adeosun (1978),Normal melting temperature,Crystal 1,ACrfIl,CCCCCCCCCCCCCCCCCC(=O)O[Hg]OC(=O)CCCCCCCCCCCCCCCCC,mercury(II) stearate,,,,,,
