setid,reference,propertiy,phases,compound id 1,compound id 2,compound id 3,np,compound name 1,compound name 2,compound name 3
TOrQb,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,AAwHNg,,1287,methanol,1-butyl-3-methylimidazolium methyl sulfate,
aAPYi,Matkowska et al. (2010),Density,Liquid,AAIsrh,AAtWDT,,864,ethanol,1-ethyl-3-methylimidazolium ethyl sulfate,
KqbCs,Curras et al. (2017),Density,Liquid,AATMSw,ABChJv,,720,"2,2,2-trifluoroethanol",1-butyl-3-methylimidazolium hexafluorophosphate,
qItqU,Hofman et al. (2008),Density,Liquid,AAGIBL,AAtWDT,,693,methanol,1-ethyl-3-methylimidazolium ethyl sulfate,
tIcMX,Hoffmann et al. (2014),Density,Liquid,AADYJk,AAtDOY,,661,water,1-butyl-3-methylimidazolium methanesulfonate,
KmsPN,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,AAPByN,AADYJk,630,1-allyl-3-methylimidazolium chloride,dimethyl sulfoxide,water
tGUbx,Yamanaka and Kaneshima (1990),Density,Liquid,ABHPBX,ABBuyO,AADYJk,571,dodecyltrimethylammonium bromide,"N,N,N-trimethyl-1-decanaminium bromide",water
pUDXY,Curras et al. (2014),Density,Liquid,AATMSw,ABchwx,,420,"2,2,2-trifluoroethanol",1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
HNgdG,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,AAzKlv,AADYJk,420,"1,2-propanediol",tetrapropylammonium bromide,water
KoeLr,Domanska et al. (2018e),Density,Liquid,ABigFi,AAXZQi,,396,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,2-phenylethanol,
ykzwz,Abdulagatov et al. (2008b),Density,Liquid,AAGIBL,ABChJv,,360,methanol,1-butyl-3-methylimidazolium hexafluorophosphate,
ZKYwA,Hauk et al. (2021),Density,Liquid,AAgcST,AAONVE,,351,1-ethyl-3-methylimidazolium thiocyanate,butan-1-ol,
cjqgS,Hauk et al. (2021),Density,Liquid,AAgcST,AALcLI,,351,1-ethyl-3-methylimidazolium thiocyanate,propan-1-ol,
