setid,"Normal melting temperature, K",reference,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yGZiV,275.1,Greaves et al. (2006),Crystal,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,,,,,,
eKRhc,376.15,Coker et al. (1970),Crystal 1,ABmByP,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[O-]Cl(=O)(=O)=O,"1-heptanaminium, N,N,N-trihexyl- perchlorate",,,,,,
ZICMU,378.1,Curnow et al. (2011),Crystal,ABiLqC,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(C)C,tris(dimethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
jyZKx,304.8,Domanska et al. (2007c),Crystal,ABWmVd,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.O=[N+]([O-])[O-],Didecyldimethylammonium nitrate,,,,,,
gkoss,331.25,Zhang et al. (2007a),Crystal 1,ABaREU,C[N+](C)(C)CCCC#N.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyronitriletrimethylammonium bis(trifluoromethanesulfonyl)imide,,,,,,
ZkiZL,326.6,Domanska et al. (2010c),Crystal,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,,,,,,
XrReu,514.1,Nakayama et al. (1989),Crystal,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,,,,
nkHqA,332.8,Domanska and Marciniak (2003),Crystal,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,,,,,,
lnmRS,314.9,Stejfa et al. (2020),Crystal 2,AAhPAz,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-ethyl-3-methylimidazolium nitrate,,,,,,
UIMcE,357.71,Domanska et al. (2011c),Crystal 1,ABabQc,CC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,,,,,,
hLUCz,282.1,Appetecchi et al. (2011),Crystal,ABwYOR,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis((perfluoroethyl)sulfonyl)amide,,,,,,
fQbqv,408.6,Liu et al. (2020e),Crystal,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",,,,,,
oXasZ,374.1,Parajo et al. (2020),Crystal 1,ABBlWP,CC[n+]1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethylpyridinium 4-methylbenzenesulfonate,,,,,,
hjsvl,250.25,Vieira et al. (2017),Crystal,ABtiCO,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium dodecyl sulfate,,,,,,
JdAjp,384.71,yang et al. (2011),Crystal,ABuGZK,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazolium) hexafluorophosphate(V)",,,,,,
SYzzR,270.1,Henderson and Passerini (2004),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
Hyhll,256,Zhou et al. (2010a),Crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
yhHkE,346.1,Brown et al. (2022),Crystal 1,AAfxbB,C[N+](C)(C)CCO.O=[N+]([O-])[O-],choline nitrate,,,,,,
