setid,"Temperature, K","Pressure, kPa","Specific density, kg/m³",reference,propertiy,phases,compound id 1,compound id 2,compound id 3,compound name 1,compound name 2,compound name 3
hRQDy,0.0,0.0,1069.8±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1099±16,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1129±15,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1160±13,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1189±11,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1220.1±9.1,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1249.4±7.5,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1279±6.4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1308.9±5.6,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1339.9±4.9,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1370.7±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1063.2±4,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1093±17,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1123±15,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1155±13,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
hRQDy,0.0,0.0,1184±11,Chen et al. (2018b),Density,Liquid,ABChJv,AARQqy,,1-butyl-3-methylimidazolium hexafluorophosphate,dimethyl carbonate,
